         |       | part miss          0 reqs       0.00 %
         |       | full miss          4 reqs       0.00 %
         |       |     total       5165 reqs       1.37 %
         |  pass |   read ->        190 reqs       0.05 %
         |       |  write <-      25308 reqs       6.71 %
         |     total             376912 reqs     100.00 %

  errors | cache |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |  core |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |     total                  0 errors     0.00 %
