
Progress:

  ... #315866 @ 77018.435 ms: miss_ratio = 0.00194, load_admit = 1.000, cache_tp = 8462.663, core_tp = 0.000
  ... #317947 @ 77518.638 ms: miss_ratio = 0.00193, load_admit = 1.000, cache_tp = 8516.542, core_tp = 0.000
  ... #319998 @ 78018.766 ms: miss_ratio = 0.00192, load_admit = 1.000, cache_tp = 8477.830, core_tp = 0.000
  ... #322047 @ 78518.874 ms: miss_ratio = 0.00191, load_admit = 1.000, cache_tp = 8438.177, core_tp = 0.000
  ... #324104 @ 79018.936 ms: miss_ratio = 0.00189, load_admit = 1.000, cache_tp = 8446.953, core_tp = 0.000
  ... #326176 @ 79518.982 ms: miss_ratio = 0.00188, load_admit = 1.000, cache_tp = 8503.218, core_tp = 0.000
  ... #328224 @ 80019.143 ms: miss_ratio = 0.00187, load_admit = 1.000, cache_tp = 8485.268, core_tp = 0.000
  ... #330289 @ 80519.175 ms: miss_ratio = 0.00186, load_admit = 1.000, cache_tp = 8519.455, core_tp = 0.000
  ... #332341 @ 81019.351 ms: miss_ratio = 0.00185, load_admit = 1.000, cache_tp = 8437.030, core_tp = 0.000
  ... #334394 @ 81519.446 ms: miss_ratio = 0.00184, load_admit = 1.000, cache_tp = 8438.397, core_tp = 0.000
  ... #336452 @ 82019.541 ms: miss_ratio = 0.00182, load_admit = 1.000, cache_tp = 8486.388, core_tp = 0.000
  ... #338504 @ 82519.735 ms: miss_ratio = 0.00181, load_admit = 1.000, cache_tp = 8428.730, core_tp = 0.000
  ... #340560 @ 83019.872 ms: miss_ratio = 0.00180, load_admit = 1.000, cache_tp = 8453.684, core_tp = 0.000
  ... #342629 @ 83519.984 ms: miss_ratio = 0.00179, load_admit = 1.000, cache_tp = 8470.103, core_tp = 0.000
  ... #344796 @ 84020.111 ms: miss_ratio = 0.00178, load_admit = 1.000, cache_tp = 9029.706, core_tp = 0.000
  ... #346845 @ 84520.182 ms: miss_ratio = 0.00177, load_admit = 1.000, cache_tp = 8422.804, core_tp = 0.000
  ... #348902 @ 85020.343 ms: miss_ratio = 0.00176, load_admit = 1.000, cache_tp = 8477.270, core_tp = 0.000
  ... #350957 @ 85520.358 ms: miss_ratio = 0.00175, load_admit = 1.000, cache_tp = 8471.746, core_tp = 0.000
  ... #353009 @ 86020.413 ms: miss_ratio = 0.00174, load_admit = 1.000, cache_tp = 8431.073, core_tp = 0.000
  ... #355075 @ 86520.550 ms: miss_ratio = 0.00173, load_admit = 1.000, cache_tp = 8461.681, core_tp = 0.000
  ... #357124 @ 87020.642 ms: miss_ratio = 0.00172, load_admit = 1.000, cache_tp = 8470.441, core_tp = 0.000
  ... #359186 @ 87520.786 ms: miss_ratio = 0.00171, load_admit = 1.000, cache_tp = 8445.568, core_tp = 0.000
  ... #361248 @ 88020.879 ms: miss_ratio = 0.00170, load_admit = 1.000, cache_tp = 8462.426, core_tp = 0.000
  ... #363300 @ 88520.956 ms: miss_ratio = 0.00169, load_admit = 1.000, cache_tp = 8454.698, core_tp = 0.000
  ... #365350 @ 89021.021 ms: miss_ratio = 0.00168, load_admit = 1.000, cache_tp = 8470.899, core_tp = 0.000
  ... #367399 @ 89521.087 ms: miss_ratio = 0.00167, load_admit = 1.000, cache_tp = 8470.882, core_tp = 0.000
  ... #369456 @ 90021.176 ms: miss_ratio = 0.00166, load_admit = 1.000, cache_tp = 8462.494, core_tp = 0.000
  ... #371521 @ 90521.179 ms: miss_ratio = 0.00165, load_admit = 1.000, cache_tp = 8479.949, core_tp = 0.000
  ... #373588 @ 91021.323 ms: miss_ratio = 0.00164, load_admit = 1.000, cache_tp = 8413.577, core_tp = 0.000
  ... #375645 @ 91521.546 ms: miss_ratio = 0.00163, load_admit = 1.000, cache_tp = 8484.216, core_tp = 0.000
  ... #377706 @ 92021.561 ms: miss_ratio = 0.00163, load_admit = 1.000, cache_tp = 8431.747, core_tp = 0.000
  ... #379765 @ 92521.692 ms: miss_ratio = 0.00162, load_admit = 1.000, cache_tp = 8493.775, core_tp = 0.000
  ... #381818 @ 93021.847 ms: miss_ratio = 0.00161, load_admit = 1.000, cache_tp = 8413.392, core_tp = 0.000
  ... #383879 @ 93521.877 ms: miss_ratio = 0.00160, load_admit = 1.000, cache_tp = 8495.490, core_tp = 0.000
  ... #385929 @ 94022.037 ms: miss_ratio = 0.00159, load_admit = 1.000, cache_tp = 8485.285, core_tp = 0.000
  ... #387985 @ 94522.130 ms: miss_ratio = 0.00158, load_admit = 1.000, cache_tp = 8510.417, core_tp = 0.000
  ... #390052 @ 95022.409 ms: miss_ratio = 0.00157, load_admit = 1.000, cache_tp = 8467.275, core_tp = 0.000
  ... #392112 @ 95522.519 ms: miss_ratio = 0.00157, load_admit = 1.000, cache_tp = 8502.130, core_tp = 0.000
  ... #394173 @ 96022.640 ms: miss_ratio = 0.00156, load_admit = 1.000, cache_tp = 8477.948, core_tp = 0.000
  ... #396227 @ 96522.795 ms: miss_ratio = 0.00155, load_admit = 1.000, cache_tp = 8413.392, core_tp = 0.000
  ... #398311 @ 97022.950 ms: miss_ratio = 0.00154, load_admit = 1.000, cache_tp = 8581.340, core_tp = 0.000
  ... #400369 @ 97523.099 ms: miss_ratio = 0.00153, load_admit = 1.000, cache_tp = 8461.478, core_tp = 0.000
  ... #402431 @ 98023.146 ms: miss_ratio = 0.00153, load_admit = 1.000, cache_tp = 8455.205, core_tp = 0.000
  ... #404483 @ 98523.164 ms: miss_ratio = 0.00152, load_admit = 1.000, cache_tp = 8447.696, core_tp = 0.000
  ... #406536 @ 99023.283 ms: miss_ratio = 0.00151, load_admit = 1.000, cache_tp = 8485.980, core_tp = 0.000
  ... #408576 @ 99523.345 ms: miss_ratio = 0.00150, load_admit = 1.000, cache_tp = 8454.952, core_tp = 0.000
  ... #410635 @ 100023.397 ms: miss_ratio = 0.00150, load_admit = 1.000, cache_tp = 8423.124, core_tp = 0.000
  ... #412690 @ 100523.469 ms: miss_ratio = 0.00149, load_admit = 1.000, cache_tp = 8454.783, core_tp = 0.000
  ... #414766 @ 101023.552 ms: miss_ratio = 0.00148, load_admit = 1.000, cache_tp = 8502.589, core_tp = 0.000
  ... #416826 @ 101523.614 ms: miss_ratio = 0.00147, load_admit = 1.000, cache_tp = 8462.951, core_tp = 0.000
  ... #418888 @ 102023.642 ms: miss_ratio = 0.00147, load_admit = 1.000, cache_tp = 8439.527, core_tp = 0.000
  ... #420950 @ 102523.833 ms: miss_ratio = 0.00146, load_admit = 1.000, cache_tp = 8444.774, core_tp = 0.000
  ... #423006 @ 103023.968 ms: miss_ratio = 0.00145, load_admit = 1.000, cache_tp = 8437.722, core_tp = 0.000
  ... #425067 @ 103524.043 ms: miss_ratio = 0.00144, load_admit = 1.000, cache_tp = 8454.732, core_tp = 0.000
  ... #427127 @ 104024.205 ms: miss_ratio = 0.00144, load_admit = 1.000, cache_tp = 8485.251, core_tp = 0.000
  ... #429187 @ 104524.381 ms: miss_ratio = 0.00143, load_admit = 1.000, cache_tp = 8556.988, core_tp = 0.000
  ... #431369 @ 105024.724 ms: miss_ratio = 0.00142, load_admit = 1.000, cache_tp = 9169.710, core_tp = 0.000
  ... #433430 @ 105524.814 ms: miss_ratio = 0.00142, load_admit = 1.000, cache_tp = 8462.477, core_tp = 0.000
  ... #435510 @ 106024.841 ms: miss_ratio = 0.00141, load_admit = 1.000, cache_tp = 8551.538, core_tp = 0.000
  ... #437577 @ 106524.887 ms: miss_ratio = 0.00140, load_admit = 1.000, cache_tp = 8535.215, core_tp = 0.000
  ... #439632 @ 107025.028 ms: miss_ratio = 0.00140, load_admit = 1.000, cache_tp = 8501.603, core_tp = 0.000
  ... #441709 @ 107525.190 ms: miss_ratio = 0.00139, load_admit = 1.000, cache_tp = 8581.220, core_tp = 0.000
  ... #443763 @ 108025.270 ms: miss_ratio = 0.00138, load_admit = 1.000, cache_tp = 8502.640, core_tp = 0.000
  ... #445836 @ 108525.341 ms: miss_ratio = 0.00138, load_admit = 1.000, cache_tp = 8542.787, core_tp = 0.000
  ... #447905 @ 109025.539 ms: miss_ratio = 0.00137, load_admit = 1.000, cache_tp = 8508.631, core_tp = 0.000
  ... #449972 @ 109525.724 ms: miss_ratio = 0.00136, load_admit = 1.000, cache_tp = 8500.855, core_tp = 0.000
  ... #452043 @ 110025.783 ms: miss_ratio = 0.00136, load_admit = 1.000, cache_tp = 8471.000, core_tp = 0.000
  ... #454116 @ 110525.853 ms: miss_ratio = 0.00135, load_admit = 1.000, cache_tp = 8566.801, core_tp = 0.000
